POS,PLAYER,TOTAL,THRU,R1,R2,R3,R4,STROKES,AVG_SCORE,AVG_SCORE_Z,YEAR,TOURNAMENT,SCHEDULE
1,K.H. Lee,-25,F,65,65,67,66,263,65.75,2.4106775829397584,2021,AT&T Byron Nelson,Safeway Open
2,Sam Burns,-22,F,65,62,69,70,266,66.5,1.9808596856748086,,,U.S. Open (2020)
T3,Daniel Berger,-21,F,69,67,67,64,267,66.75,1.8375870532531589,,,Corales Puntacana Resort & Club Championship (2020)
T3,Patton Kizzire,-21,F,69,64,71,63,267,66.75,1.8375870532531589,,,Sanderson Farms Championship
T3,Charl Schwartzel,-21,F,65,68,66,68,267,66.75,1.8375870532531589,,,Shriners Hospitals for Children Open
T3,Scott Stallings,-21,F,67,71,63,66,267,66.75,1.8375870532531589,,,THE CJ CUP @ SHADOW CREEK
T7,Joseph Bramlett,-19,F,64,70,67,68,269,67.25,1.551041788409859,,,ZOZO CHAMPIONSHIP @ SHERWOOD
T7,Troy Merritt,-19,F,68,70,66,65,269,67.25,1.551041788409859,,,Bermuda Championship
T9,Seamus Power,-18,F,65,68,67,70,270,67.5,1.4077691559882093,,,Vivint Houston Open
T9,Doc Redman,-18,F,64,67,69,70,270,67.5,1.4077691559882093,,,Masters Tournament (2020)
T9,Jordan Spieth,-18,F,63,70,66,71,270,67.5,1.4077691559882093,,,The RSM Classic
T9,Jhonattan Vegas,-18,F,65,72,66,67,270,67.5,1.4077691559882093,,,Mayakoba Golf Classic presented by UNIFIN
T13,Bronson Burgoon,-17,F,68,66,67,70,271,67.75,1.2644965235665595,,,QBE Shootout
T13,Luke Donald,-17,F,65,73,66,67,271,67.75,1.2644965235665595,,,Sentry Tournament of Champions
T13,Harris English,-17,F,70,68,63,70,271,67.75,1.2644965235665595,,,Sony Open in Hawaii
T13,Satoshi Kodaira,-17,F,67,71,66,67,271,67.75,1.2644965235665595,,,The American Express
T17,Matt Kuchar,-16,F,67,66,66,73,272,68.0,1.1212238911449097,,,Farmers Insurance Open
T17,Hank Lebioda,-16,F,67,67,70,68,272,68.0,1.1212238911449097,,,Waste Management Phoenix Open
T17,Brandt Snedeker,-16,F,66,68,68,70,272,68.0,1.1212238911449097,,,AT&T Pebble Beach Pro-Am
T17,Will Zalatoris,-16,F*,70,68,67,67,272,68.0,1.1212238911449097,,,The Genesis Invitational
T21,Rafa Cabrera Bello,-15,F,64,71,66,72,273,68.25,0.9779512587232598,,,World Golf Championships-Workday Championship at The Concession
T21,Marc Leishman,-15,F,66,69,68,70,273,68.25,0.9779512587232598,,,Puerto Rico Open
T21,Alex Noren,-15,F,65,64,70,74,273,68.25,0.9779512587232598,,,Arnold Palmer Invitational presented by Mastercard
T21,Carlos Ortiz,-15,F,67,66,70,70,273,68.25,0.9779512587232598,,,THE PLAYERS Championship
T21,Lee Westwood,-15,F*,71,64,70,68,273,68.25,0.9779512587232598,,,The Honda Classic
T26,Ryan Armour,-14,F,70,66,68,70,274,68.5,0.8346786263016099,,,World Golf Championships-Dell Technologies Match Play
T26,Wesley Bryan,-14,F,67,71,67,69,274,68.5,0.8346786263016099,,,Corales Puntacana Resort & Club Championship (2021)
T26,Ben Martin,-14,F,65,69,67,73,274,68.5,0.8346786263016099,,,Valero Texas Open
T26,Keith Mitchell,-14,F*,67,71,70,66,274,68.5,0.8346786263016099,,,Masters Tournament (2021)
T26,Rob Oppenheim,-14,F*,68,69,68,69,274,68.5,0.8346786263016099,,,RBC Heritage
T26,Rory Sabbatini,-14,F*,67,71,68,68,274,68.5,0.8346786263016099,,,Zurich Classic of New Orleans
T26,Sepp Straka,-14,F,68,67,69,70,274,68.5,0.8346786263016099,,,Valspar Championship
T26,Vince Whaley,-14,F*,69,65,71,69,274,68.5,0.8346786263016099,,,Wells Fargo Championship
T34,Scott Brown,-13,F,66,71,66,72,275,68.75,0.69140599387996,,,AT&T Byron Nelson
T34,Mark Hubbard,-13,F,65,71,68,71,275,68.75,0.69140599387996,,,PGA Championship
T34,Jon Rahm,-13,F*,68,69,68,70,275,68.75,0.69140599387996,,,Charles Schwab Challenge
T34,Adam Schenk,-13,F,66,70,66,73,275,68.75,0.69140599387996,,,the Memorial Tournament presented by Nationwide
T34,Roger Sloan,-13,F,66,68,69,72,275,68.75,0.69140599387996,,,Palmetto Championship at Congaree
T39,Wyndham Clark,-12,F,66,68,69,73,276,69.0,0.5481333614583103,,,U.S. Open (2021)
T39,Talor Gooch,-12,F,69,69,67,71,276,69.0,0.5481333614583103,,,Travelers Championship
T39,Russell Knox,-12,F*,69,67,70,70,276,69.0,0.5481333614583103,,,Rocket Mortgage Classic
T39,Hideki Matsuyama,-12,F*,68,70,68,70,276,69.0,0.5481333614583103,,,John Deere Classic
T39,Sean O'Hair,-12,F*,67,69,71,69,276,69.0,0.5481333614583103,,,The Open Championship
T39,Pat Perez,-12,F*,70,67,69,70,276,69.0,0.5481333614583103,,,Barbasol Championship
T39,Brian Stuard,-12,F,69,69,67,71,276,69.0,0.5481333614583103,,,3M Open
T39,Johnson Wagner,-12,F*,67,71,67,71,276,69.0,0.5481333614583103,,,Olympic Men's Golf Competition
T47,Brice Garnett,-11,F*,68,69,73,67,277,69.25,0.4048607290366604,,,World Golf Championships-FedEx St. Jude Invitational
T47,Michael Gligic,-11,F*,65,72,72,68,277,69.25,0.4048607290366604,,,Barracuda Championship
T47,Sung Kang,-11,F*,67,69,72,69,277,69.25,0.4048607290366604,,,Wyndham Championship
T47,Nelson Ledesma,-11,F*,68,68,73,68,277,69.25,0.4048607290366604,,,THE NORTHERN TRUST
T47,Ryan Palmer,-11,F,67,69,66,75,277,69.25,0.4048607290366604,,,BMW Championship
T47,Patrick Rodgers,-11,F*,71,66,69,71,277,69.25,0.4048607290366604,,,TOUR Championship
T47,Scottie Scheffler,-11,F*,67,70,68,72,277,69.25,0.4048607290366604,,,
T47,J.J. Spaun,-11,F,63,69,72,73,277,69.25,0.4048607290366604,,,
T55,Cameron Champ,-10,F*,72,66,71,69,278,69.5,0.2615880966150106,,,
T55,Bryson DeChambeau,-10,F*,69,68,72,69,278,69.5,0.2615880966150106,,,
T55,Charles Howell III,-10,F*,65,70,72,71,278,69.5,0.2615880966150106,,,
T55,Si Woo Kim,-10,F*,66,70,70,72,278,69.5,0.2615880966150106,,,
T55,Sebastián Muñoz,-10,F*,66,68,73,71,278,69.5,0.2615880966150106,,,
T55,Aaron Wise,-10,F*,64,72,71,71,278,69.5,0.2615880966150106,,,
T61,Mark Anderson,-9,F*,68,69,71,71,279,69.75,0.11831546419336073,,,
T61,Martin Laird,-9,F*,72,66,71,70,279,69.75,0.11831546419336073,,,
T61,Luke List,-9,F*,68,69,72,70,279,69.75,0.11831546419336073,,,
T61,Wes Roach,-9,F*,68,70,71,70,279,69.75,0.11831546419336073,,,
65,Michael Gellerman,-8,F*,67,71,73,69,280,70.0,-0.024957168228289126,,,
66,Bo Hoag,-7,F*,66,71,72,72,281,70.25,-0.16822980064993898,,,
67,Michael Kim,-6,F*,69,67,71,75,282,70.5,-0.3115024330715888,,,
T68,Dylan Meyer,-5,F*,66,72,71,74,283,70.75,-0.45477506549323865,,,
T68,"Ted Potter, Jr.",-5,F*,66,68,73,76,283,70.75,-0.45477506549323865,,,
70,Cameron Percy,-3,F*,68,70,76,71,285,71.25,-0.7413203303365383,,,
T71,Austin Cook,-1,F*,68,68,75,76,287,71.75,-1.027865595179838,,,
T71,D.J. Trahan,-1,F*,69,69,73,76,287,71.75,-1.027865595179838,,,
CUT,Ricky Barnes,-5,-,68,71,-,-,139,69.5,0.2615880966150106,,,
CUT,Jonathan Byrd,-5,-,72,67,-,-,139,69.5,0.2615880966150106,,,
CUT,John Catlin,-5,-,67,72,-,-,139,69.5,0.2615880966150106,,,
CUT,Jason Day,-5,-,70,69,-,-,139,69.5,0.2615880966150106,,,
CUT,Rickie Fowler,-5,-,67,72,-,-,139,69.5,0.2615880966150106,,,
CUT,Rhein Gibson,-5,-,66,73,-,-,139,69.5,0.2615880966150106,,,
CUT,Will Gordon,-5,-,69,70,-,-,139,69.5,0.2615880966150106,,,
CUT,James Hahn,-5,-,71,68,-,-,139,69.5,0.2615880966150106,,,
CUT,"Cole Hammer
(a)",-5,-,68,71,-,-,139,69.5,0.2615880966150106,,,
CUT,David Hearn,-5,-,70,69,-,-,139,69.5,0.2615880966150106,,,
CUT,Harry Higgs,-5,-,68,71,-,-,139,69.5,0.2615880966150106,,,
CUT,Tom Lewis,-5,-,71,68,-,-,139,69.5,0.2615880966150106,,,
CUT,Thomas Pieters,-5,-,70,69,-,-,139,69.5,0.2615880966150106,,,
CUT,Andrew Putnam,-5,-,69,70,-,-,139,69.5,0.2615880966150106,,,
CUT,Antoine Rozner,-5,-,68,71,-,-,139,69.5,0.2615880966150106,,,
CUT,Vaughn Taylor,-5,-,69,70,-,-,139,69.5,0.2615880966150106,,,
CUT,Kevin Tway,-5,-,70,69,-,-,139,69.5,0.2615880966150106,,,
CUT,Jimmy Walker,-5,-,70,69,-,-,139,69.5,0.2615880966150106,,,
CUT,Tim Wilkinson,-5,-,68,71,-,-,139,69.5,0.2615880966150106,,,
CUT,Aaron Baddeley,-4,-,72,68,-,-,140,70.0,-0.024957168228289126,,,
CUT,Jonas Blixt,-4,-,66,74,-,-,140,70.0,-0.024957168228289126,,,
CUT,Ryan Brehm,-4,-,68,72,-,-,140,70.0,-0.024957168228289126,,,
CUT,Rafael Campos,-4,-,69,71,-,-,140,70.0,-0.024957168228289126,,,
CUT,MJ Daffue,-4,-,67,73,-,-,140,70.0,-0.024957168228289126,,,
CUT,Sergio Garcia,-4,-,65,75,-,-,140,70.0,-0.024957168228289126,,,
CUT,Kramer Hickok,-4,-,69,71,-,-,140,70.0,-0.024957168228289126,,,
CUT,Anirban Lahiri,-4,-,70,70,-,-,140,70.0,-0.024957168228289126,,,
CUT,Andrew Landry,-4,-,69,71,-,-,140,70.0,-0.024957168228289126,,,
CUT,Danny Lee,-4,-,71,69,-,-,140,70.0,-0.024957168228289126,,,
CUT,Martin Trainer,-4,-,71,69,-,-,140,70.0,-0.024957168228289126,,,
CUT,Bo Van Pelt,-4,-,70,70,-,-,140,70.0,-0.024957168228289126,,,
CUT,Kris Ventura,-4,-,66,74,-,-,140,70.0,-0.024957168228289126,,,
CUT,Charlie Beljan,-3,-,71,70,-,-,141,70.5,-0.3115024330715888,,,
CUT,K.J. Choi,-3,-,68,73,-,-,141,70.5,-0.3115024330715888,,,
CUT,Padraig Harrington,-3,-,66,75,-,-,141,70.5,-0.3115024330715888,,,
CUT,Scott Harrington,-3,-,67,74,-,-,141,70.5,-0.3115024330715888,,,
CUT,Brooks Koepka,-3,-,71,70,-,-,141,70.5,-0.3115024330715888,,,
CUT,Hunter Mahan,-3,-,71,70,-,-,141,70.5,-0.3115024330715888,,,
CUT,Scott Piercy,-3,-,73,68,-,-,141,70.5,-0.3115024330715888,,,
CUT,Peter Uihlein,-3,-,70,71,-,-,141,70.5,-0.3115024330715888,,,
CUT,Kiradech Aphibarnrat,-2,-,71,71,-,-,142,71.0,-0.5980476979148885,,,
CUT,Matt Fitzpatrick,-2,-,72,70,-,-,142,71.0,-0.5980476979148885,,,
CUT,Doug Ghim,-2,-,71,71,-,-,142,71.0,-0.5980476979148885,,,
CUT,Bill Haas,-2,-,72,70,-,-,142,71.0,-0.5980476979148885,,,
CUT,Chesson Hadley,-2,-,67,75,-,-,142,71.0,-0.5980476979148885,,,
CUT,John Huh,-2,-,72,70,-,-,142,71.0,-0.5980476979148885,,,
CUT,Tom Lovelady,-2,-,72,70,-,-,142,71.0,-0.5980476979148885,,,
CUT,Ryan Moore,-2,-,69,73,-,-,142,71.0,-0.5980476979148885,,,
CUT,Shawn Stefani,-2,-,67,75,-,-,142,71.0,-0.5980476979148885,,,
CUT,Zack Sucher,-2,-,69,73,-,-,142,71.0,-0.5980476979148885,,,
CUT,Hudson Swafford,-2,-,73,69,-,-,142,71.0,-0.5980476979148885,,,
CUT,Nick Watney,-2,-,68,74,-,-,142,71.0,-0.5980476979148885,,,
CUT,Xinjun Zhang,-2,-,68,74,-,-,142,71.0,-0.5980476979148885,,,
CUT,Ryan Blaum,-1,-,71,72,-,-,143,71.5,-0.8845929627581882,,,
CUT,Sebastian Cappelen,-1,-,73,70,-,-,143,71.5,-0.8845929627581882,,,
CUT,Greg Chalmers,-1,-,69,74,-,-,143,71.5,-0.8845929627581882,,,
CUT,Kevin Chappell,-1,-,74,69,-,-,143,71.5,-0.8845929627581882,,,
CUT,J.J. Henry,-1,-,70,73,-,-,143,71.5,-0.8845929627581882,,,
CUT,Tom Hoge,-1,-,68,75,-,-,143,71.5,-0.8845929627581882,,,
CUT,J.B. Holmes,-1,-,74,69,-,-,143,71.5,-0.8845929627581882,,,
CUT,Beau Hossler,-1,-,72,71,-,-,143,71.5,-0.8845929627581882,,,
CUT,Sam Ryder,-1,-,70,73,-,-,143,71.5,-0.8845929627581882,,,
CUT,John Senden,-1,-,70,73,-,-,143,71.5,-0.8845929627581882,,,
CUT,Erik van Rooyen,-1,-,72,71,-,-,143,71.5,-0.8845929627581882,,,
CUT,"Pierceson Coody
(a)",E,-,74,70,-,-,144,72.0,-1.171138227601488,,,
CUT,Grayson Murray,E,-,75,69,-,-,144,72.0,-1.171138227601488,,,
CUT,Chris Baker,+1,-,69,76,-,-,145,72.5,-1.4576834924447877,,,
CUT,Tyler Duncan,+1,-,70,75,-,-,145,72.5,-1.4576834924447877,,,
CUT,Fabián Gómez,+1,-,70,75,-,-,145,72.5,-1.4576834924447877,,,
CUT,Nate Lashley,+1,-,71,74,-,-,145,72.5,-1.4576834924447877,,,
CUT,Jamie Lovemark,+1,-,70,75,-,-,145,72.5,-1.4576834924447877,,,
CUT,Ryan Lumsden,+1,-,71,74,-,-,145,72.5,-1.4576834924447877,,,
CUT,Josh Teater,+1,-,71,74,-,-,145,72.5,-1.4576834924447877,,,
CUT,Dominic Bozzelli,+2,-,72,74,-,-,146,73.0,-1.7442287572880872,,,
CUT,Matt Every,+2,-,70,76,-,-,146,73.0,-1.7442287572880872,,,
CUT,David Lingmerth,+2,-,75,71,-,-,146,73.0,-1.7442287572880872,,,
CUT,Ben Taylor,+2,-,73,73,-,-,146,73.0,-1.7442287572880872,,,
CUT,Kelly Kraft,+3,-,71,76,-,-,147,73.5,-2.030774022131387,,,
CUT,Shane Pearce,+4,-,71,77,-,-,148,74.0,-2.3173192869746866,,,
CUT,George McNeill,+5,-,74,75,-,-,149,74.5,-2.603864551817986,,,
CUT,John Lyras,+6,-,73,77,-,-,150,75.0,-2.890409816661286,,,
CUT,Kevin Stadler,+6,-,76,74,-,-,150,75.0,-2.890409816661286,,,
CUT,Tyler Strafaci,+6,-,70,80,-,-,150,75.0,-2.890409816661286,,,
