PLAYERS,Predicted_Avg_Score,Win_Probability_%,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Taylor Pendrith,67.71,0.91,-0.1,1.4416,0.9601,-1.4363,-2.0724,-0.8008,0.0033,-0.4835,-0.3668,0.632,0.4569,0.549,-0.4297,0.4034,-1.1051,-0.3752,0.8797
Ben Kohles,68.64,0.83,-0.29,-1.7808,-1.5657,0.5275,0.9492,1.0267,-0.2072,-0.2269,0.1665,-1.4721,-0.5391,0.3679,-0.1266,-1.4926,-0.8482,-0.2553,-1.2599
Alex Noren,67.76,0.9,0.72,-0.5183,-0.1609,0.6718,1.5274,0.6064,2.1914,-1.0432,-0.6114,1.1705,1.7112,-0.3938,1.8862,0.6737,0.6122,0.416,-0.0681
S.H. Kim,68.97,0.8,0.13,0.3594,0.382,-1.6478,-1.0161,-0.4855,-1.6629,-0.5501,0.594,0.197,-0.4646,0.1432,0.1008,0.2205,0.2066,0.7756,1.6419
Aaron Rai,67.84,0.9,0.09,-0.7829,-0.2808,1.1523,0.9,1.9427,1.3523,0.2528,0.9774,-0.7639,0.9954,0.7613,0.2187,0.2364,1.0855,-0.3153,-0.582
Byeong Hun An,66.93,0.98,0.37,1.682,1.0711,0.0289,-1.0936,-0.4673,1.3138,2.1718,0.9752,1.3724,0.9407,0.9548,1.2967,0.4193,0.5176,-1.5739,-0.433
Matt Wallace,69.22,0.78,-0.63,0.2873,0.0118,-1.8551,-0.4057,-2.064,0.3265,-0.1403,0.9355,0.1326,1.0655,1.242,-0.6992,-1.1031,-0.6048,-0.3632,0.9186
Jake Knapp,67.71,0.91,-0.1,1.1891,1.5365,0.1746,-0.5909,-0.0013,0.1694,1.5988,0.8297,0.0536,0.1899,1.9974,-0.8171,0.9082,0.7475,0.2242,0.7955
Rafael Campos,67.83,0.9,-0.08,0.9606,0.278,0.1017,-1.6681,-0.1155,0.534,-1.333,0.6204,0.5072,-0.2282,-0.5062,0.4293,-0.3558,-1.9435,-1.9336,-2.0458
Troy Merritt,67.73,0.9,-0.3,-1.0474,-1.2643,1.0332,-0.3472,1.8718,-0.219,-0.4302,-0.0803,-1.2409,0.3059,0.7675,-0.0929,2.4147,1.2343,-0.3392,-0.8929
Ryo Hisatsune,68.17,0.87,-0.1,-0.4462,-0.6809,0.4687,0.1139,0.531,0.2316,-0.75,-1.6273,-0.6312,0.6583,-0.2065,1.0188,0.7015,0.4365,-0.3272,-2.0782
Daniel Berger,67.83,0.9,0.48,-0.6265,-0.5505,1.6495,0.8641,0.9513,0.7979,-0.4802,0.5829,0.7101,0.4022,-0.0878,0.2608,1.2898,0.3824,-0.1235,-2.2704
Alex Smalley,69.48,0.76,-0.1,0.2752,0.0488,-0.5328,0.2613,-0.4855,-0.2072,-0.3136,-0.4616,-0.5766,-0.2063,-0.3251,0.3703,-0.7096,-0.0639,-0.7828,-1.6032
Adam Schenk,67.89,0.89,0.11,0.3113,0.8614,0.7643,0.49,0.1358,0.116,0.7992,0.1863,0.5482,0.2139,0.5365,0.1261,-0.7533,-0.1315,0.416,0.219
