Feature,Coefficient
Weighted_Avg_Past_Score_Z,-0.0786
Average Driving Distance,0.5439
Ball Speed,-0.2691
Driving Accuracy,-0.1642
Distance From Edge of Fairway,0.491
Rough Tendency,-0.2477
GIR,-0.0932
Fairway Proximity,-0.268
Approaches from > 200,0.1354
Going for Green,-0.2212
GIR from Other than Fairway,-0.1365
Proximity from Sand (Short),-0.2152
Proximity from Rough (Short),-0.2073
Proximity from 30+,-0.1235
Proximity ATG,0.3278
3-Putt Avoidance,-0.0679
Putting 5-15ft,0.0575
Intercept,68.1159
