PLAYERS,Predicted_Avg_Score,Win_Probability_%,Odds_Probability_%,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Si Woo Kim,67.46,8.78,3.2258,0.78,-0.6833,-0.8377,0.8303,1.4185,1.4717,0.3141,0.3701,0.2385,1.2624,0.1449,0.914,3.0457,0.8043,1.3164,0.5756,0.843
Scottie Scheffler,67.68,5.66,26.3158,0.75,0.1387,0.1963,0.9795,0.547,1.3358,1.5296,1.691,0.727,0.9236,-0.2909,-0.4221,0.5039,0.7863,1.5002,0.526,0.5404
Taylor Moore,67.85,4.03,1.7857,0.13,0.9734,0.7186,0.1499,-0.0443,0.6247,0.9438,-0.9456,-0.1503,1.0635,1.154,1.6978,0.8204,1.3933,1.6381,-0.3308,0.3066
Kevin Yu,67.96,3.23,1.2346,-0.01,0.6066,0.808,0.5115,0.906,0.4911,1.4724,0.7055,0.5633,1.4469,0.5554,-0.1459,0.494,-1.2597,-0.7829,-0.9516,-0.9107
Lee Hodges,67.97,3.17,0.9901,-0.23,0.6319,-0.2121,0.5395,0.2072,0.4481,1.1525,0.1638,-1.4549,1.3541,0.9063,-0.178,0.1973,-0.6481,-0.4458,0.4142,1.1869
Davis Riley,67.97,3.17,1.2346,0.57,0.4549,0.4487,-0.9463,-0.8275,-0.5823,-0.3155,-2.4264,-2.1993,1.3131,0.5416,-0.7112,1.1962,1.4653,-0.5224,1.2213,0.5084
Nicolai Højgaard,68.07,2.59,1.5152,-0.1,1.2263,1.9769,-0.4206,-1.9006,-0.3445,1.203,0.6591,0.4866,1.4975,0.3077,-1.572,0.6819,1.164,-0.3232,0.5756,-0.0395
Victor Perez,68.09,2.49,0.8264,-0.1,0.2019,0.2489,1.069,1.4416,0.6949,0.7215,-1.7505,-1.0022,1.3649,2.3168,-0.769,-1.1972,0.7009,-0.9974,0.6749,-0.0441
Jeremy Paul,68.1,2.44,0.6623,-0.1,0.9734,0.8798,-0.5138,-1.008,-0.5687,0.5936,-0.12,0.6452,1.3408,0.5164,0.3937,1.3545,0.1882,-0.1087,1.1716,-0.8373
Isaiah Salinda,68.11,2.39,1.4085,-0.1,1.2643,1.0673,0.2655,0.3416,0.747,0.1795,-0.894,-0.8666,1.8737,-1.8459,-0.3707,0.2369,-0.4952,-0.0167,-2.6774,0.7032
Max McGreevy,68.17,2.12,0.8264,-0.29,-0.4304,-0.9885,1.6059,0.8618,1.9178,0.203,-0.538,-0.5775,0.8175,-1.3895,1.2031,-0.94,-2.2669,-0.3539,0.8364,-1.0413
Chan Kim,68.17,2.12,0.9901,-0.09,0.1008,-0.1157,0.3904,-0.3015,0.7583,0.3613,-0.5947,-0.8154,0.7813,0.0784,0.9783,-0.584,-0.4008,0.2437,0.9729,-1.3577
Trey Mullinax,68.17,2.12,0.4975,-0.02,1.4666,1.4196,-1.6454,-0.6221,-0.3627,1.2299,0.2618,-1.1454,0.8284,1.2939,-2.664,-2.0576,-3.3821,-3.679,0.8736,-0.1862
Jordan Spieth,68.19,2.04,5.2632,0.73,0.4675,0.2086,0.4202,-1.0137,1.603,-0.1337,-0.9404,0.0057,0.9887,1.4155,0.4323,0.9391,0.557,0.5809,0.29,0.7628
Sungjae Im,68.19,2.04,3.8462,-0.1,-0.7972,-0.3207,1.4921,0.8637,1.6392,-0.467,-1.379,-0.1964,1.0297,-0.4675,0.9205,-0.5642,0.8088,0.7034,0.7619,1.1823
Sam Burns,68.2,2.0,3.2258,0.33,0.4802,0.5608,0.025,0.4683,-0.143,-0.0832,-0.6515,-1.281,1.4469,-0.3987,-1.0067,-2.9774,0.0578,-2.2846,1.333,1.9319
Ben Griffin,68.23,1.88,2.7778,0.25,0.1893,-0.0088,0.2375,-0.2209,0.353,1.2535,-0.8991,-0.0378,0.5378,0.693,0.5736,0.405,-0.0905,0.4276,0.1783,0.1003
Kurt Kitayama,68.31,1.6,1.0989,-0.29,1.9219,1.0148,-1.0675,-0.5472,-0.7748,-0.3256,1.4279,1.8142,1.7194,-0.034,0.2717,-0.6038,0.2062,0.7494,0.7991,-0.2825
Ben Kohles,68.33,1.54,0.369,0.37,-1.1892,-1.0796,2.4876,1.8543,2.2371,0.7687,-0.1974,-0.9561,-0.2677,-2.1302,0.5929,0.9094,0.6019,0.4736,-0.1197,0.0407
Taylor Pendrith,68.38,1.4,3.2258,0.54,0.7963,1.1497,0.5917,-0.0443,0.4118,1.7384,0.5817,0.4405,0.9525,1.2068,0.1496,-1.6126,-2.4243,-0.6297,-0.8398,-0.2138
Alex Smalley,68.38,1.4,1.4085,0.29,0.5813,-0.0052,1.2162,0.8465,0.8693,1.0885,-0.1303,0.1336,0.8501,1.1701,0.8113,-0.8708,0.0533,0.4583,-0.5046,0.8293
Patrick Fishburn,68.41,1.31,0.6623,-0.43,0.4422,0.5871,-1.4217,-0.3649,-0.6389,0.2468,-1.1055,-0.6287,0.7536,1.1219,-1.3279,1.3446,0.6649,-0.6756,-0.4301,0.1439
Adam Svensson,68.43,1.26,0.5848,-0.05,-1.0248,-0.6502,0.8881,1.0135,0.5681,0.3613,-0.3935,-0.2629,0.0965,-0.6877,1.4215,0.0885,-0.8055,0.5962,0.9109,-0.9084
Byeong Hun An,68.44,1.24,3.8462,0.75,0.379,0.4855,-0.5995,-0.457,0.0767,-0.5747,0.0657,-0.2655,0.838,-0.0868,-0.1138,0.049,-0.0816,0.0905,0.2404,-1.4471
Cam Davis,68.46,1.19,0.9901,-0.1,-0.2154,0.4084,-0.7021,-0.4301,-0.1226,-0.5074,1.2576,1.0852,0.7644,-1.6693,0.413,0.405,1.1011,1.0865,-0.1197,-0.3696
Brice Garnett,68.46,1.19,0.2849,0.27,-1.771,-1.7684,1.9377,1.1671,1.8521,1.5296,-0.4399,-1.4191,-0.6137,0.9063,0.3937,-0.3763,0.1253,0.6115,0.526,0.9623
Alejandro Tosti,68.47,1.17,1.0989,-0.01,1.9345,1.6492,-0.5101,0.3013,-1.1643,0.1963,0.7262,-0.1171,1.3372,1.232,0.5672,0.1775,-0.4773,1.0712,-0.3183,-1.2201
Jesper Svensson,68.48,1.14,0.9901,-0.1,1.7701,1.6422,-0.8699,-1.3132,-0.6548,-0.9552,-1.2397,-0.8717,1.8135,-0.2748,-0.435,-0.3763,-0.113,-0.8289,0.1659,1.2396
Erik van Rooyen,68.49,1.12,0.5848,-0.42,0.9102,0.2138,0.1163,0.2706,0.7017,0.7215,1.6085,1.8039,0.7222,0.6655,0.1689,0.6226,-1.1922,-0.3845,-0.2314,-0.6218
Jake Knapp,68.49,1.12,2.1739,0.37,0.8975,1.5072,-1.4776,-0.5684,-1.2753,0.2737,0.0399,1.0366,0.8042,0.7137,0.0147,-0.6137,-0.4413,-1.0127,0.6005,0.6253
