PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
K.H. Lee,2022,65.5,67.9,2.4004,0.0168,0.0423,0.6968,0.6236,0.5133,0.9418,0.138,-1.2455,0.1592,0.0515,0.5886,0.8165,1.3793,1.6453,0.9357,0.6923
Jordan Spieth,2022,65.75,67.56,1.3993,0.5324,0.6905,-0.7747,0.5578,-0.5202,0.3635,0.4484,-0.1591,1.6971,0.8723,0.7618,0.6364,1.1709,0.8867,0.2893,1.0742
Hideki Matsuyama,2022,66.0,68.31,0.5412,-0.3124,-0.1443,0.278,1.0759,0.1971,-0.208,0.2227,-0.612,0.7425,-0.4172,0.2822,-0.4063,0.7592,0.7919,0.2498,0.2692
Ryan Palmer,2022,66.25,68.44,0.3982,0.4007,-0.2671,-0.1559,0.9505,0.8272,-0.3264,-0.2738,0.5605,0.7352,-0.8478,1.1082,-1.1078,0.3972,-1.5785,-1.0429,-0.8621
Xander Schauffele,2022,66.25,67.51,-0.1,0.3568,0.9376,-0.1559,0.3008,0.1806,1.324,0.8715,0.1937,1.1485,-0.0508,1.1615,0.5131,1.1709,1.4872,0.5663,1.05
Justin Thomas,2022,66.25,67.74,-0.1,0.9163,0.5366,-0.1842,0.8723,0.7564,0.049,-0.0481,-0.7426,2.0079,0.5059,1.2281,0.7596,0.2731,1.0922,-2.1641,1.1612
James Hahn,2022,66.75,69.41,0.2552,-0.2027,-0.3489,0.7025,-0.647,0.2443,-0.066,-1.0411,-1.0705,-0.3637,0.6249,-0.2507,0.4657,-0.7338,-0.5197,-0.2251,-0.6349
Peter Malnati,2022,66.75,69.44,-0.1,-0.5318,-0.3637,-1.65,-0.721,-1.4736,-2.0917,-1.3853,-2.0402,-0.6106,-0.981,-0.0375,0.7406,1.0172,0.6181,0.7642,1.1201
Davis Riley,2022,66.75,68.91,-0.1,0.2252,0.3565,-0.2351,-0.5668,0.7021,0.8336,1.1762,0.9912,-0.6243,0.6154,0.4421,1.6791,0.0946,0.0018,-1.1088,-0.5092
Christiaan Bezuidenhout,2022,67.0,68.88,-0.1,-1.2229,-0.9366,0.8439,0.5249,0.9546,-0.3331,1.2664,-0.9843,-0.8785,-1.8161,-0.204,0.6364,-0.3072,0.5233,1.5292,0.2184
Matt Kuchar,2022,67.0,67.96,1.1133,-0.4659,-1.1232,0.6327,1.376,1.2401,0.4887,-1.3401,-2.2597,-0.0931,1.46,1.4213,0.8449,0.7989,1.503,0.6719,1.2168
