PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Aaron Baddeley,289.0,168.13,0.5859,30.95,0.3485,0.6073,35.15,54.74,0.4133,0.4634,8.14,7.95,14.14,7.11,0.0134,0.4211
Aaron Rai,286.0,170.9,0.7271,18.53,0.2199,0.6914,36.27,56.26,0.5912,0.562,8.75,7.42,9.03,6.63,0.0278,0.4434
Adam Hadwin,299.0,174.57,0.595,25.01,0.2825,0.6276,33.82,53.54,0.5827,0.4498,6.55,7.81,11.21,6.26,0.024,0.4719
Adam Schenk,308.9,179.64,0.5249,30.77,0.3046,0.6111,31.77,45.81,0.5974,0.5079,9.41,8.62,11.96,7.2,0.0287,0.5
Adam Scott,299.9,179.24,0.5434,30.0,0.3435,0.6429,33.58,48.07,0.6195,0.581,7.89,7.11,10.4,6.44,0.0258,0.4402
Adam Svensson,292.5,170.59,0.6437,24.02,0.2677,0.6667,34.38,54.28,0.5981,0.5083,6.97,8.0,13.88,6.84,0.0195,0.4216
Akshay Bhatia,292.3,174.51,0.631,32.1,0.2381,0.6806,31.35,49.05,0.5903,0.5484,7.48,8.32,9.54,6.79,0.0231,0.5022
Aldrich Potgieter,324.1,190.63,0.5243,41.74,0.2969,0.6235,36.56,58.78,0.6444,0.517,9.16,9.29,13.37,7.8,0.0288,0.518
Alejandro Tosti,315.9,183.71,0.5687,27.73,0.3442,0.6618,32.21,53.71,0.701,0.592,8.3,7.91,13.15,6.53,0.0294,0.408
Alex Smalley,305.2,174.27,0.6613,24.89,0.2544,0.6883,33.87,52.73,0.6606,0.5893,7.92,8.97,11.97,6.93,0.0309,0.4974
Andrew Novak,298.0,170.65,0.5616,27.07,0.3282,0.6098,33.04,54.3,0.5705,0.4699,8.54,7.39,12.67,6.57,0.0176,0.4871
Andrew Putnam,282.9,163.92,0.682,25.4,0.2676,0.7037,34.27,56.87,0.4433,0.5241,8.41,7.43,14.01,7.01,0.0185,0.4706
Antoine Rozner,305.9,175.05,0.5664,30.92,0.3075,0.6577,32.71,50.63,0.6289,0.5246,13.42,9.3,14.82,9.19,0.0233,0.4368
Austin Eckroat,295.3,172.3,0.6527,25.91,0.2179,0.6569,33.88,49.54,0.622,0.512,6.78,10.38,13.2,7.22,0.031,0.447
Beau Hossler,302.5,173.32,0.5242,32.56,0.3131,0.6142,36.44,58.28,0.6269,0.5,8.0,8.49,13.62,7.47,0.0154,0.4828
Ben Griffin,302.1,174.25,0.6088,30.45,0.2772,0.6932,35.36,53.4,0.6347,0.5685,8.29,7.68,12.29,6.95,0.0254,0.4656
Ben Kohles,291.2,168.14,0.7295,19.64,0.194,0.6788,34.0,56.99,0.5679,0.4454,8.26,7.17,10.75,6.92,0.0278,0.463
Ben Martin,296.9,169.9,0.6351,23.92,0.2852,0.6728,33.81,49.97,0.557,0.5481,9.75,9.34,12.06,7.55,0.0206,0.4375
Ben Silverman,300.5,169.29,0.5872,26.36,0.2715,0.6289,33.34,54.39,0.6329,0.493,8.71,7.75,10.46,6.83,0.0289,0.5034
Billy Horschel,298.3,173.26,0.5733,33.65,0.276,0.6477,33.53,55.95,0.6115,0.511,10.6,9.86,17.03,7.79,0.0175,0.4775
Braden Thornberry,297.7,173.54,0.4873,39.32,0.4175,0.5845,39.63,67.77,0.4909,0.5155,10.61,9.43,13.17,8.31,0.0121,0.4505
Brandt Snedeker,285.4,161.31,0.6684,26.12,0.2361,0.6329,39.41,70.08,0.4861,0.5313,12.7,7.72,10.79,7.53,0.0258,0.5338
