PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Aaron Baddeley,281.4,167.87,0.5994,27.71,0.2716,0.6522,33.82,54.68,0.3548,0.5234,9.68,7.26,13.65,7.03,0.0133,0.4576
Aaron Rai,292.0,172.03,0.6744,22.05,0.2514,0.6915,33.69,52.82,0.5178,0.5461,13.06,8.5,12.7,8.14,0.0308,0.4038
Aaron Wise,301.4,172.89,0.6017,30.47,0.2646,0.6364,37.52,55.91,0.5489,0.4565,11.43,7.7,11.02,7.52,0.0152,0.5128
Adam Hadwin,293.1,169.47,0.6396,28.15,0.2491,0.669,35.06,58.6,0.5051,0.5292,9.13,8.4,11.8,8.17,0.0197,0.5134
Adam Long,289.8,166.18,0.6492,25.75,0.2307,0.6436,37.28,60.49,0.3651,0.5032,9.69,7.35,10.38,7.4,0.0248,0.4632
Adam Schenk,305.0,181.25,0.5426,29.57,0.3438,0.6575,35.21,54.03,0.472,0.5425,8.25,9.04,10.7,7.18,0.0332,0.4926
Adam Scott,308.2,181.05,0.5465,23.64,0.3325,0.6441,32.21,48.35,0.6855,0.5317,7.86,10.19,12.56,7.6,0.0208,0.5054
Adam Svensson,289.8,171.14,0.6155,24.2,0.2901,0.6606,32.66,49.19,0.5447,0.519,9.49,8.56,11.84,7.03,0.0295,0.5179
Akshay Bhatia,302.7,174.68,0.6145,30.13,0.2556,0.7022,31.86,48.43,0.5648,0.625,10.14,10.1,15.59,9.14,0.0278,0.4359
Alex Noren,300.6,173.87,0.5451,27.21,0.3069,0.6361,34.49,57.37,0.5096,0.4921,8.09,7.78,8.73,7.07,0.0167,0.5066
Alex Smalley,302.0,173.54,0.5803,25.62,0.2964,0.6828,33.58,55.82,0.4367,0.5531,8.81,9.04,13.41,7.56,0.026,0.476
Anders Albertson,294.1,174.06,0.5359,32.94,0.3803,0.594,36.69,59.61,0.3816,0.4762,10.01,8.27,10.48,7.47,0.0171,0.5351
Andrew Landry,286.4,164.03,0.6359,23.82,0.285,0.5983,35.6,59.23,0.3577,0.467,9.82,5.73,9.13,7.65,0.0242,0.4362
Andrew Novak,295.2,169.9,0.5732,30.46,0.2723,0.656,33.09,51.39,0.4345,0.5415,9.73,7.55,10.93,7.38,0.0225,0.4628
Andrew Putnam,284.6,166.43,0.6399,23.16,0.2706,0.6906,35.38,57.64,0.4125,0.5325,8.1,8.4,11.46,7.48,0.0154,0.5045
Augusto Núñez,309.1,179.19,0.5457,35.02,0.3205,0.6803,31.85,45.32,0.4671,0.6006,8.89,7.93,13.84,7.34,0.0377,0.4476
Austin Cook,282.4,163.95,0.6486,24.63,0.2719,0.6285,33.73,51.92,0.2326,0.4899,8.88,9.07,11.11,7.38,0.0349,0.4676
Austin Eckroat,299.0,170.1,0.6189,25.3,0.2973,0.6528,33.11,51.98,0.5055,0.5693,11.1,9.55,13.91,8.67,0.031,0.4326
Austin Smotherman,299.4,172.13,0.5992,32.43,0.2732,0.6255,31.09,48.72,0.4608,0.4849,9.9,7.88,14.7,7.63,0.0319,0.4903
Beau Hossler,305.0,173.92,0.5695,30.98,0.2853,0.6593,37.02,53.76,0.5333,0.573,9.47,8.06,11.91,7.29,0.0204,0.4807
Ben Griffin,301.7,176.11,0.5305,32.94,0.3467,0.6496,34.51,56.85,0.4508,0.565,7.66,8.34,12.01,7.01,0.0231,0.4836
