Player,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Aaron Baddeley,282.4,169.32,0.5482,35.43,0.3028,0.6042,36.0,56.99,0.3636,0.5076,7.26,7.1,13.35,6.54,0.0139,0.5478
Aaron Rai,290.9,172.16,0.7017,24.09,0.218,0.6993,31.94,48.44,0.5364,0.5827,8.15,8.01,11.9,6.63,0.0294,0.4362
Adam Hadwin,296.3,174.81,0.6921,24.67,0.2667,0.6431,29.0,50.85,0.7,0.4917,8.97,8.56,14.29,7.73,0.0152,0.4896
Adam Schenk,300.0,178.64,0.674,26.26,0.2971,0.6576,30.3,52.03,0.6709,0.547,8.51,8.12,14.39,7.53,0.0233,0.4733
Adam Scott,300.6,177.4,0.6769,29.5,0.3201,0.6422,32.37,52.99,0.6941,0.5099,9.57,8.24,13.62,7.51,0.02,0.493
Adam Svensson,296.9,174.51,0.593,26.68,0.2894,0.645,30.23,50.56,0.6792,0.4828,7.49,8.34,10.44,6.78,0.023,0.4196
Adrien Dumont de Chassart,302.6,177.09,0.5413,40.4,0.3489,0.6352,34.77,57.06,0.4875,0.4868,12.09,8.59,13.3,8.67,0.0296,0.3087
Akshay Bhatia,297.8,173.67,0.7076,25.19,0.2654,0.6784,27.63,49.6,0.6593,0.5876,10.74,6.44,12.68,7.11,0.0263,0.5191
Alejandro Tosti,312.3,184.95,0.5026,29.29,0.3976,0.629,33.18,51.29,0.766,0.5632,9.21,10.04,10.72,7.84,0.0417,0.3926
Alex Noren,293.1,172.84,0.6674,20.77,0.2765,0.7276,35.83,55.65,0.7347,0.6154,10.0,6.03,10.8,6.98,0.0233,0.46
Alex Smalley,299.7,174.03,0.5814,27.47,0.3243,0.6467,33.64,54.97,0.5556,0.5278,9.89,7.83,14.28,7.48,0.0333,0.3889
Alexander Björk,275.5,160.45,0.6738,22.14,0.2707,0.5972,33.53,48.65,0.3182,0.3551,11.45,7.51,23.92,8.18,0.0093,0.5181
Andrew Novak,300.2,172.84,0.5588,33.61,0.3179,0.6778,32.57,46.07,0.5877,0.5833,6.66,7.09,9.83,6.33,0.0204,0.4372
Andrew Putnam,281.9,164.81,0.6423,21.92,0.2621,0.6937,33.08,57.4,0.517,0.6023,8.43,8.47,13.11,7.21,0.0143,0.4976
